a,2795398
b,533977
c,919630
d,1497357
e,4547985
f,817827
g,678769
h,2135692
i,2433600
j,54285
k,236510
l,1386839
m,890461
n,2492191
o,2610458
p,617613
q,47123
r,2106504
s,2223227
t,3207188
u,1030869
v,346408
w,743864
x,59509
y,623924
z,35011
