f,e
j,t
k,h
d,r
r,a
i,i
u,n
e,s
s,o
l,c
g,d
h,u
t,l
o,m
w,f
y,g
a,w
p,y
c,p
m,b
v,v
n,k
x,x
q,j
b,q
z,z
